Crop,Land_Area_ha,Soil_Fertility,Growth_Stage,Region,Urea_kg
Mustard,0.51,High,Mid,Central,15.44
Sugarcane,0.64,High,Mid,East,46.67
Cotton,0.67,Low,Initial,Central,23.97
Mustard,1.68,High,Late,East,17.93
Maize,0.57,Medium,Mid,East,29.4
Cotton,0.28,Medium,Late,Central,6.03
Cotton,2.14,High,Initial,East,51.7
Mustard,0.73,Low,Late,South,12.74
Rice,0.47,High,Initial,East,19.16
Maize,0.59,Low,Mid,West,31.3
Mustard,3.33,Medium,Late,Central,41.5
Maize,0.63,Low,Initial,East,26.37
Maize,0.92,Medium,Initial,East,38.35
Cotton,0.73,Medium,Mid,Central,32.22
Sugarcane,0.42,Low,Mid,North,40.23
Maize,0.59,Medium,Mid,South,27.4
Pulses,0.4,Medium,Initial,South,4.91
Cotton,1.95,Low,Mid,East,93.33
Rice,1.07,High,Initial,Central,43.5
Sugarcane,5.69,Medium,Late,West,202.72
Pulses,0.61,Medium,Mid,East,10.82
Pulses,0.55,Medium,Mid,South,9.38
Rice,2.93,Medium,Initial,East,148.57
Sugarcane,2.1,Low,Late,Central,90.78
Cotton,1.31,Medium,Mid,West,57.72
Wheat,0.46,Medium,Late,North,10.64
Sugarcane,3.39,Medium,Initial,West,218.61
Rice,0.95,High,Mid,East,61.3
Pulses,0.74,Medium,Mid,South,13.8
Cotton,2.23,Low,Initial,Central,90.91
Sugarcane,0.98,Low,Mid,East,87.74
Wheat,0.44,Low,Initial,North,19.82
Wheat,1.03,Low,Mid,Central,63.49
Maize,0.58,Medium,Mid,Central,28.78
Maize,0.2,Low,Mid,Central,12.73
Mustard,0.54,Low,Mid,East,18.48
Rice,0.69,Low,Mid,North,49.63
Sugarcane,0.45,Low,Initial,East,36.45
Sugarcane,1.5,Low,Mid,Central,143.76
Mustard,0.58,Low,Late,Central,9.43
Pulses,1.4,Medium,Initial,South,19.64
Pulses,0.42,Medium,Initial,West,5.08
Mustard,1.89,Low,Mid,East,61.84
Pulses,0.41,Medium,Mid,North,6.2
Maize,0.2,Medium,Mid,Central,10.21
Sugarcane,2.38,Low,Mid,East,246.66
Mustard,0.55,Low,Initial,West,16.16
Sugarcane,3.42,Medium,Late,East,139.97
Wheat,1.48,Medium,Mid,West,89.08
Maize,1.74,Low,Initial,East,79.66
Cotton,2.08,Low,Initial,South,73.32
Maize,1.08,High,Mid,East,53.29
Mustard,1.09,Medium,Mid,South,31.31
Cotton,2.45,Low,Mid,West,97.72
Wheat,1.08,High,Late,Central,21.52
Mustard,0.6,High,Initial,Central,12.06
Rice,1.51,Medium,Late,East,43.24
Sugarcane,0.23,Medium,Mid,North,16.88
Wheat,2.52,Low,Mid,East,165.43
Sugarcane,2.56,Low,Late,South,97.79
Pulses,2.31,Medium,Mid,South,45.82
Rice,2.25,Low,Initial,West,108.39
Rice,0.94,Medium,Late,East,26.55
Wheat,0.93,High,Mid,West,39.94
Rice,0.42,High,Mid,North,23.17
Cotton,3.4,Low,Late,Central,77.66
Rice,0.71,Medium,Mid,Central,46.52
Sugarcane,1.27,Medium,Mid,East,103.46
Sugarcane,1.19,High,Mid,West,85.3
Mustard,0.39,Medium,Mid,West,12.96
Sugarcane,0.29,Low,Initial,North,21.94
Mustard,1.0,Low,Mid,West,36.64
Sugarcane,0.73,Medium,Initial,South,47.84
Cotton,0.94,Medium,Mid,South,31.15
Mustard,2.11,High,Late,South,23.72
Maize,1.17,Medium,Initial,East,47.7
Pulses,1.7,Medium,Initial,South,22.65
Wheat,1.37,Medium,Initial,South,54.6
Sugarcane,0.8,Low,Mid,Central,78.22
Rice,0.5,High,Late,East,12.52
Sugarcane,1.2,High,Mid,South,85.0
Rice,1.06,High,Initial,North,40.67
Pulses,1.9,High,Mid,South,24.42
Pulses,0.9,Low,Mid,East,20.53
Pulses,0.81,Low,Mid,West,15.1
Rice,0.85,Medium,Mid,Central,49.79
Sugarcane,0.53,High,Initial,Central,25.87
Pulses,2.75,Low,Mid,East,64.83
Cotton,2.22,Low,Initial,South,80.5
Mustard,0.43,High,Initial,North,9.21
Rice,1.76,Low,Late,South,59.22
Rice,0.27,Medium,Mid,South,16.9
Sugarcane,1.99,Medium,Initial,North,138.28
Rice,0.61,Low,Late,Central,17.58
Rice,1.29,Low,Mid,South,81.43
Pulses,0.26,High,Initial,West,2.65
Sugarcane,0.43,Medium,Mid,West,35.38
Pulses,1.39,High,Late,East,10.12
Mustard,0.61,Medium,Mid,East,18.74
Mustard,0.56,Low,Initial,North,15.29
Pulses,2.66,Medium,Mid,North,53.89
Mustard,4.7,Medium,Mid,East,140.54
Sugarcane,1.93,Low,Late,South,80.49
Wheat,0.47,High,Initial,Central,15.64
Pulses,3.44,Low,Mid,West,76.56
Cotton,0.34,Medium,Initial,North,11.22
Cotton,0.81,Low,Mid,East,33.02
Rice,1.04,Medium,Late,West,27.49
Mustard,3.85,Medium,Initial,North,74.62
Cotton,1.89,Medium,Initial,North,65.04
Rice,0.72,Medium,Mid,South,53.76
Wheat,0.52,High,Mid,North,18.52
Sugarcane,2.02,Low,Initial,Central,126.52
Sugarcane,0.69,Low,Mid,North,65.2
Sugarcane,1.16,Low,Late,Central,48.57
Cotton,0.38,Low,Mid,South,16.78
Wheat,1.49,Medium,Mid,Central,67.12
Cotton,1.41,Medium,Mid,West,57.1
Mustard,0.42,High,Late,North,5.43
